country,latitude,longitude,population
Samoa,-13.5833,-172.3333,195125
Yemen,15,48,27584213
South Africa,-29,24,55908865
Zambia,-15,30,16591390
Zimbabwe,-20,30,16150362
Anguilla,18.25,-63.1667,
Cook Islands,-21.2333,-159.7667,
French Guiana,4,-53,
Guadeloupe,16.25,-61.5833,
Holy See (Vatican City State),41.9,12.45,
Martinique,14.6667,-61,
Niue,-19.0333,-169.8667,
Norfolk Island,-29.0333,167.95,
Palestinian,32,35.25,
Saint Pierre and Miquelon,46.8333,-56.3333,
Saint Vincent and the Grenadines,13.25,-61.2,
Svalbard and Jan Mayen,78,20,
Western Sahara,24.5,-13,
Stateless,,,
Tibetan,,,
Various/Unknown,,,
Wallis and Futuna Islands ,,,
